gene_id	seqnames	start	end	width	strand
100009600	chr9	21062393	21075496	13104	-
100009609	chr7	84940169	84964009	23841	-
100009614	chr10	77711446	77712009	564	+
100009664	chr11	45808083	45842878	34796	+
100012	chr4	144157556	144162651	5096	-
100017	chr4	134745412	134768004	22593	-
100019	chr4	32657119	32775217	118099	+
100033459	chr1	173673680	173698392	24713	+
100034251	chr11	83704056	83706269	2214	+
100034361	chr2	121461666	121474023	12358	-
100034363	chrX	136954988	136957979	2992	-
100034684	chr16	36359382	36367570	8189	-
100034726	chr11	68901635	68904534	2900	+
100034729	chrX	148488949	148521446	32498	+
100034739	chr2	18027249	18030577	3329	+
100036518	chr13	23249238	23250323	1086	+
100036520	chr2	180332857	180340732	7876	+
100036521	chr6	8259288	8459469	200182	+
100036523	chr7	141610066	141613747	3682	-
100036537	chr9	49518288	49568025	49738	+
100036768	chr11	109354778	109363654	8877	-
100037258	chr14	118937932	118981702	43771	+
100037260	chr1	92933543	92950590	17048	-
100037262	chr11	98798309	98810089	11781	-
100037278	chr8	71597646	71608149	10504	+
100037282	chr17	6904716	6948356	43641	-
100037283	chr17	8128316	8141804	13489	-
100037396	chr7	4126340	4136926	10587	-
100038347	chr7	73740307	73776919	36613	+
100038353	chr18	75514645	75522806	8162	+
100038356	chr6	88842854	88847274	4421	+
100038358	chr2	6132869	6140570	7702	+
100038363	chrX	96239926	96243642	3717	+
100038371	chr13	21504316	21506524	2209	-
100038374	chr2	174125038	174183918	58881	-
100038378	chr12	100187968	100193538	5571	+
100038392	chr16	91688898	91715755	26858	+
100038394	chr17	13205042	13206211	1170	+
100038410	chr18	56936260	56940518	4259	+
100038417	chr18	62607540	62741387	133848	-
100038439	chr18	4812486	4850959	38474	+
100038453	chr3	108379277	108383741	4465	-
100038454	chr2	109902396	109913319	10924	-
100038460	chr9	47799160	47818208	19049	-
100038464	chr3	96555768	96566801	11034	-
100038468	chr9	45107176	45135606	28431	-
100038479	chr10	77011995	77022214	10220	+
100038481	chr17	15350813	15354461	3649	-
100038489	chr8	65028417	65037336	8920	-
100038493	chr2	60964376	60975151	10776	-
100038494	chr13	56362900	56368857	5958	+
100038514	chr4	14930641	14953030	22390	+
100038516	chr7	31162358	31170641	8284	+
100038522	chr12	3859293	3862244	2952	-
100038525	chr2	93452819	93469874	17056	+
100038526	chr4	156021645	156023824	2180	-
100038538	chr13	66904914	66909166	4253	+
100038545	chr3	11823229	11844359	21131	-
100038554	chr8	12706944	12719127	12184	-
